シーケンス,サウンド バイトのテキスト,評価およびスコア,サウンド バイトのセンチメント,タイトル,情報源の種類,投稿タイプ,メディア タイプ,URL,ドメイン,公開日 (GMT+09:00) Tokyo,投稿者の性別,投稿者の URL,投稿者名,投稿者の ID,投稿者 ID,投稿者ロケーション - 国 1,投稿者のロケーション - 州/省 1,投稿者ロケーション - 市区町村 1,投稿者ロケーション - 国 2,投稿者のロケーション - 州/省 2,投稿者ロケーション - 市区町村 2,投稿者ロケーション - その他,フォロワー数/ユニーク ビジター数 (日単位),職業,関心,タグ,引用された投稿,引用された投稿者名,引用された投稿者の ID,合計エンゲージメント数,コメント投稿,「いいね！」する,シェア投稿,ビューを投稿,嫌いなものを投稿,製品名,製品階層,評価
11,EVには、モーターならではの「走る楽しさ」がある──新型「日産リーフ」の走りに込められた思い｜WIRED.jp @wired_jp wired.jp/2017/12/11/nis…,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/NISSANEV/statuses/956897157545525248,twitter.com,2018/01/26 23:30:35,Unknown,http://twitter.com/NISSANEV,日産自動車株式会社,NISSANEV,114520726,日本,神奈川県,横浜市,,,,,51538,,,,,,,,,,,,,,,
12,新型日産リーフって縦列駐車もしてくれんのwwwwwwwwwwwwwwwwwwwwwwwwww,,Neutral,,Twitter,オリジナル,メディアなし,http://twitter.com/soooos1919/statuses/954204340125810688,twitter.com,2018/01/19 13:10:17,Unknown,http://twitter.com/soooos1919,ゆうㄘん,soooos1919,820533776786669568,,,,,,,,631,,,,,,,,,,,,,,,
13,【#激安 情報】 新型登場で30万円台も存在！ 激安の中古日産リーフは買って大丈夫か - 毎日新聞 news.google.com/news/url?sa=t&… #無料いいね pic.twitter.com/4PXdnaa2KO,,ポジティブ,,Twitter,オリジナル,リンク; 画像,http://twitter.com/muryouiine/statuses/960881542934376448,twitter.com,2018/02/06 23:23:06,Unknown,http://twitter.com/muryouiine,無料いいね,muryouiine,2921075196,,,,,,,,9335,,,,,,,,,,,,,,,
14,@yo_leaf_yo @nobu09reaf 今の現状は、 日産のHPにある通りの解釈で いいのかなと思います pic.twitter.com/BWA0yODX6u,,Neutral,,Twitter,返信およびコメント,画像,http://twitter.com/pokapokaohirune/statuses/958629512035540992,twitter.com,2018/01/31 18:14:20,Unknown,http://twitter.com/pokapokaohirune,pokapoka,pokapokaohirune,120993902,,,,,,,,259,,,,,,,,,,,,,,,
15,最近タクシーがプリウスαに変わってきたね。 日産もリーフとかでタクシーシェア取ればいいのにね。 まぁ結局航続距離やら経年劣化考えると新型のリーフも怪しいという烙印押されているんだろうね。,,Neutral,,Twitter,オリジナル,メディアなし,http://twitter.com/hiyori113/statuses/956697790960230400,twitter.com,2018/01/26 10:18:22,女性,http://twitter.com/hiyori113,日和,hiyori113,3825576792,,,,,,,,22,,,,,,,,,,,,,,,
16,【日産リーフのここが好き⑦】 日産リーフは、雪道でも強い！ バッテリーのお陰で低重心で安定し、e-pedalが急減速を抑制しているので、滑りにくい。 以上『へらへら隊長』さんのレポートを分析した結果です。 私自身は雪道の経験がありませんので、ご経験者の皆様のご意見をお待ちしております。 twitter.com/minotaxi/statu…,,ポジティブ,,Twitter,オリジナル,リンク,http://twitter.com/george11182/statuses/955531109646807040,twitter.com,2018/01/23 5:02:24,Unknown,http://twitter.com/george11182,ジョー,george11182,3180067386,,,,,,,,116,,,,リーフの重量とバッテリーが底に敷かれている安定感で雪道はFFでは最強と思っていたが、、さらに新型に標準装備のe-pedalがナイス！！あらら雪道最強！！こりゃ2WD敵なしっすー！！数日低温が続くらしい、、根雪が一番危険なので、気を引き閉めて営業しなければならんなっ💦 #圧雪路面 #新型リーフ,へらへら隊長,minotaxi,,,,,,,,,
17,日産の電気自動車leaf乗りだが質問に答える 42w.chikyukazoku2020.com/houou/?p=56900,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/okinawa_ouen/statuses/963669493431103488,twitter.com,2018/02/14 16:01:26,Unknown,http://twitter.com/okinawa_ouen,けれど！,okinawa_ouen,1658847146,,,,,,,,1970,,,,,,,,,,,,,,,
18,件のドリンクです。 #日本全国日産ディーラーぶらり旅 pic.twitter.com/GHKzDuIMJa,,Neutral,,Twitter,オリジナル,画像,http://twitter.com/yo_leaf_yo/statuses/958961272686440449,twitter.com,2018/02/01 16:12:38,Unknown,http://twitter.com/yo_leaf_yo,よっちゃむ,yo_leaf_yo,905912961968963584,日本,,,,,,,139,営業・マーケティング; 法曹,旅行,,,,,,,,,,,,,
19,【クリッカー・オブ・ザ・イヤー2017】2017年の大賞を獲得したのは「日産・リーフ」 jidousyasaisinn.link/2018/01/31/%e3… pic.twitter.com/dabF9JWLHB,,ポジティブ,,Twitter,オリジナル,リンク; 画像,http://twitter.com/CAR_I_LOVE/statuses/958647760223322112,twitter.com,2018/01/31 19:26:51,Unknown,http://twitter.com/CAR_I_LOVE,フェラーリとかランボとか,CAR_I_LOVE,2803315749,,,,,,,,15692,,,,,,,,,,,,,,,
20,日産、ＥＶ戦略推進で存在感　普及啓発活動や自動運転技術に注力 [注目の経済ニュース - SankeiBiz（サンケイビズ）：総合経済情報サイト] sankeibiz.jp/business/news/…,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/s_0001/statuses/964273130553319424,twitter.com,2018/02/16 8:00:04,Unknown,http://twitter.com/s_0001,Mumble_away,s_0001,225726395,,,,,,,,5227,,,,,,,,,,,,,,,
21,充電カードはぁ、まだぁ、届かないぃ。 #日産リーフ,,Neutral,,Twitter,オリジナル,メディアなし,http://twitter.com/bchiwawa/statuses/956679547818160128,twitter.com,2018/01/26 9:05:53,Unknown,http://twitter.com/bchiwawa,ビッグチワワ,bchiwawa,197777121,,,,,,,,895,,自動車,,,,,,,,,,,,,
22,日産リーフのe-Pedalが雪や氷にも効くって本当？【氷上&雪上試乗：日産LEAF】｜MotorFan[モーターファン] motor-fan.jp/article/100029…,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/yutakama/statuses/960158390390411265,twitter.com,2018/02/04 23:29:33,Unknown,http://twitter.com/yutakama,MATSUMOTO Yutaka,yutakama,58992198,日本,神奈川県,川崎市,,,,,2087,,音楽; スポーツ; テレビ,,,,,,,,,,,,,
23,日産、新型「リーフ」を購入すると四国電力のポイントが付加されるキャンペーンImpress Watch rdsig.yahoo.co.jp/rss/l/headline…,,ポジティブ,,Twitter,オリジナル,リンク,http://twitter.com/ayschatbal3s/statuses/957094254186192896,twitter.com,2018/01/27 12:33:46,男性,http://twitter.com/ayschatbal3s,しんすけ,ayschatbal3s,899584577194340353,,,,,,,,58,,,,,,,,,,,,,,,
24,中古の日産リーフってコスパ最高すぎないか？wwwwwwwwwww 車の速報.xyz/?p=78418 pic.twitter.com/rgSTyDb01O,,Neutral,,Twitter,オリジナル,リンク; 画像,http://twitter.com/CAR_I_LOVE/statuses/957169808679817216,twitter.com,2018/01/27 17:34:00,Unknown,http://twitter.com/CAR_I_LOVE,フェラーリとかランボとか,CAR_I_LOVE,2803315749,,,,,,,,15731,,,,,,,,,,,,,,,
25,@hello_leaf @nobu09reaf 自宅充電設置はディーラーを通すと日産からの補助が10万まである筈です。地域で違うのか分かりませんが大体は全国10万出ていますよ。,,Neutral,,Twitter,返信およびコメント,メディアなし,http://twitter.com/umitaro37/statuses/956870896588746752,twitter.com,2018/01/26 21:46:14,男性,http://twitter.com/umitaro37,みかみ@旅ほーだい,umitaro37,126788719,日本,青森県,,,,,,721,健康・医療,自動車; ペット; スポーツ; アウトドア; 旅行,,,,,,,,,,,,,
26,ルノー日産連合、自動運転EVタクシー事業を中国配車大手と計画。将来的には業務提携も > japanese.engadget.com/2018/02/07/ev/ PR:amazon.co.jp/%E3%80%90Amazo…,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/gadget_anderson/statuses/961457577291800576,twitter.com,2018/02/08 13:32:04,Unknown,http://twitter.com/gadget_anderson,ガジェット・アンダーソン,gadget_anderson,884525347,,,,,,,,4416,Manufacturing,テクノロジー,,,,,,,,,,,,,
27,ルノー日産三菱、中国配車アプリ大手と協業…EVのカーシェア実現へ y-trd.comルノー日産三菱、中国配車アプリ大手と協業evの/ #中古車 #車屋 #ネットビジネス #nhk,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/carexportkoza/statuses/961393794112397312,twitter.com,2018/02/08 9:18:37,Unknown,http://twitter.com/carexportkoza,🚗中古車⛴輸出業支援TL,carexportkoza,775726164962713600,日本,神奈川県,横浜市,,,,,204,,,,,,,,,,,,,,,
28,最低電費更新！！！ #日産リーフ pic.twitter.com/CWJ80gJpzK,,Neutral,,Twitter,オリジナル,画像,http://twitter.com/ITO_Karin/statuses/962298903923060736,twitter.com,2018/02/10 21:15:12,女性,http://twitter.com/ITO_Karin,伊藤花梨,ITO_Karin,244094440,日本,愛知県,名古屋市,,,,,964,Homemaker,自動車,,,,,,,,,,,,,
29,【BladeGlider concept(NISSAN)】 EVの可能性を主張する新世代スポーツカー。名前は滑空機を意味し、戦闘機のコックピットのような運転フィールドを体験できる。pic.twitter.com/SUehZU6miV,,Neutral,,Twitter,オリジナル,画像,http://twitter.com/Taiyosunsun1105/statuses/962161555562360832,twitter.com,2018/02/10 12:09:25,Unknown,http://twitter.com/Taiyosunsun1105,あんな車 こんな車まとめ チャンネル,Taiyosunsun1105,794904234814685184,,,,,,,,2024,,,,,,,,,,,,,,,
30,日産、トヨタもビックリ！ポルシェが「超急速充電」発表でEVの常識を覆す autoc-one.jp/nissan/leaf/sp… EVの制約は充電時間と航続距離。トヨタの水素がどこまで展開できるか？,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/sabo0509/statuses/958854689973399552,twitter.com,2018/02/01 9:09:07,男性,http://twitter.com/sabo0509,さぼ郎,sabo0509,88547008,日本,東京都,台東区,,,,,28,,,,,,,,,,,,,,,
31,車新規制、ＥＶシフト迫る　米10州「ＨＶは非対応車」　日産の高級車「インフィニティ」、全て電動に：日本経済新聞 nikkei.com/article/DGKKZO…,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/mmrrtt333/statuses/955947594781417477,twitter.com,2018/01/24 8:37:21,Unknown,http://twitter.com/mmrrtt333,mmmrrrttt,mmrrtt333,112149637,日本,東京都,,,,,,200,,,,,,,,,,,,,,,
32,ルノー日産、EV向け急速充電ネットワークに参加…最大350kWの高出力 usedcarwebdemo.bzschool.jpルノー日産、ev向け急速充電ネットワークに参加-2/ #usedcar #japanusedcar #car,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/ucarexguide/statuses/963203018442268672,twitter.com,2018/02/13 9:07:49,Unknown,http://twitter.com/ucarexguide,中古車輸出の海外マーケット研究会,ucarexguide,1852851830,日本,東京都,,,,,,4291,,,,,,,,,,,,,,,
33,@kiyoponm 日産リーフ？　４年後に満充電で３０キロしか走らない車ｗ,,Neutral,,Twitter,返信およびコメント,メディアなし,http://twitter.com/negimaxx/statuses/962535138897702912,twitter.com,2018/02/11 12:53:54,Unknown,http://twitter.com/negimaxx,ねぎま@ウナ厨,negimaxx,146724010,,,,,,,,1195,,,,,,,,,,,,,,,
34,トヨタ、ホンダあたりは真剣に電気自動車に舵を切らないと取り残されると思う。日産だってまだリーフくらいしかない。今ならまだ巻き返せると思うんだけど。,,Neutral,,Twitter,オリジナル,メディアなし,http://twitter.com/airmassufx/statuses/961596740964003840,twitter.com,2018/02/08 22:45:03,Unknown,http://twitter.com/airmassufx,airmassu投資用,airmassufx,1878517398,,,,,,,,578,,,,,,,,,,,,,,,
35,日産リーフ、驚愕の氷上雪上性能。(河口まなぶ) - Y!ニュース news.yahoo.co.jp/byline/kawaguc…,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/tar_san_iQ1172/statuses/956369681052401664,twitter.com,2018/01/25 12:34:35,Unknown,http://twitter.com/tar_san_iQ1172,たーＧ＠ぼちぼちでんな,tar_san_iQ1172,16412925,日本,大阪府,岸和田市,,,,,1064,,,,,,,,,,,,,,,
36,@Dancyo_V36 EVと自動運転は今の日産を代表する技術ですね。 歴代の走りを受け継いだスポーツセダン、一択でしょう。 車にも縁があり、手に入れたくなる気持ち分かります。 普段ネットで探しても出てこない物件が 本気で買い換えするとき、ポッと出てくることあります。,,Neutral,,Twitter,返信およびコメント,メディアなし,http://twitter.com/target_lock_on/statuses/961910294942384129,twitter.com,2018/02/09 19:31:00,Unknown,http://twitter.com/target_lock_on,‡ﾓ卜＠デッキアップ待機中,target_lock_on,843458583727558656,日本,東京都,,,,,,81,,写真と動画,,,,,,,,,,,,,
37,日産ら3社連合、中国配車大手と提携 シェア用EV提供 （朝日新聞） goo.gl/fb/DsbYkw,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/clip_board_clip/statuses/961260933237522433,twitter.com,2018/02/08 0:30:40,Unknown,http://twitter.com/clip_board_clip,回覧板,clip_board_clip,832220757035884545,,,,,,,,1896,,,,,,,,,,,,,,,
38,昨夜、御質問にお答えしましたように 今回の日本一周の旅では、 道の駅での充電が32箇所と 日産ディーラーをわずかに上回り、トップ。 全体(91箇所)の35%を占めました。 道の駅はEVにとって まさに「オアシス」になりましたね^ ^ #EV #道の駅 twitter.com/ev_geek/status…,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/EV_GEEK/statuses/954940043709132800,twitter.com,2018/01/21 13:53:43,Unknown,http://twitter.com/EV_GEEK,とある壊れかけの二等兵,EV_GEEK,931188935761436672,,,,,,,,114,,,,@KUROBAKO4685 御質問ありがとうございます😊 今まさにレポート作成中で 記録をまとめています。 今回の充電箇所は91箇所、 日産ディーラーと道の駅で約30箇所ずつと 大部分を占めました。 去年の「さつまいも」初代初期型リーフでの本州一周の旅と比べて 傾向が変わったのが興味深い^ ^ #日産リーフ #日本一周 https://t.co/Sxl0zel1wi,とある壊れかけの二等兵,EV_GEEK,,,,,,,,,
39,日産 リーフ 新型のグランドツーリング仕様など展示予定…大阪オートメッセ2018レスポンス rdsig.yahoo.co.jp/rss/l/headline…,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/tsorrinnew9rme/statuses/960849846558052352,twitter.com,2018/02/06 21:17:09,Unknown,http://twitter.com/tsorrinnew9rme,にこる,tsorrinnew9rme,900992048123318272,,,,,,,,58,,,,,,,,,,,,,,,
40,EVバス「よかエコバス」に日産「リーフ」のバッテリーなど搭載Impress Watchhttps://rdsig.yahoo.co.jp/rss/l/headlines/ind/impress/RV=1/RU=aHR0cHM6Ly9oZWFkbGluZXMueWFob28uY28uanAvaGw_YT0yMDE4MDExOS0wMDAwMDEyOC1pbXByZXNzLWluZA--,,Neutral,,Twitter,オリジナル,メディアなし,http://twitter.com/Melissa34652855/statuses/954675690137313280,twitter.com,2018/01/20 20:23:16,Unknown,http://twitter.com/Melissa34652855,メリッサ,Melissa34652855,882477572113670144,,,,,,,,37,,,,,,,,,,,,,,,
41,ルノー・日産・三菱自動車、中国の配車アプリ大手「滴滴出行」とEVカーシェアリングで協業Impress Watch rdsig.yahoo.co.jp/rss/l/headline…,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/pikareyakutoku/statuses/961589830843998209,twitter.com,2018/02/08 22:17:35,女性,http://twitter.com/pikareyakutoku,だにえる,pikareyakutoku,578724581,アメリカ合衆国,カリフォルニア,フレズノ,,,,,103,,,,,,,,,,,,,,,
42,もうな、ガソリン車がルノーでEVが日産、四駆が三菱でいいんだって,,Neutral,,Twitter,オリジナル,メディアなし,http://twitter.com/jb23na8c/statuses/957459207288119296,twitter.com,2018/01/28 12:43:58,Unknown,http://twitter.com/jb23na8c,ぎるたん,jb23na8c,2741520811,日本,広島県,,,,,,1254,芸術・創作,テレビ; 自動車; スポーツ; アウトドア,,,,,,,,,,,,,
43,ルノー日産連合、自動運転EVタクシー事業を中国配車大手と計画。将来的には業務提携もEngadget 日本版 newsresrt.tokyo/jpa/posts/7757…,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/ibonkikahota/statuses/961482079182585856,twitter.com,2018/02/08 15:09:25,Unknown,http://twitter.com/ibonkikahota,らぶる,ibonkikahota,131625902,アメリカ合衆国,ペンシルベニア,フィラデルフィア,,,,,56,,,,,,,,,,,,,,,
44,日産、中国に1兆円投資　電動車20種以上投入: 日本経済新聞 nikkei.com/article/DGXMZO…,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/satokinskywalke/statuses/960379493524291584,twitter.com,2018/02/05 14:08:08,Unknown,http://twitter.com/satokinskywalke,佐藤　均,satokinskywalke,110918305,日本,神奈川県,横浜市,,,,,272,,テクノロジー; 動画; テレビ; 政治,,,,,,,,,,,,,
45,アニメ「サザエさん」、日産がメインスポンサーに （時事通信）「サザエさん、リーフに乗る」 headlines.yahoo.co.jp/hl?a=20180201-…,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/akb44yuki/statuses/958846781596385280,twitter.com,2018/02/01 8:37:41,Unknown,http://twitter.com/akb44yuki,akb44　　Λ,akb44yuki,264561044,,,,,,,,528,,音楽; 写真と動画,,,,,,,,,,,,,
46,Evバス「よかエコバス」に日産「リーフ」のバッテリーなど搭載 douglasconrete.xyz/new-car/media/… pic.twitter.com/x6Cos5aOWv,,Neutral,,Twitter,オリジナル,リンク; 画像,http://twitter.com/melanie_goood/statuses/955480259146780672,twitter.com,2018/01/23 1:40:20,男性,http://twitter.com/melanie_goood,hiruta kanji,melanie_goood,2956008127,,,,,,,,24,,,,,,,,,,,,,,,
47,佐々木俊尚さんと体感する新型「日産リーフ」の実力 | ライフハッカー［日本版］ lifehacker.jp/2018/01/180123… #スマートニュース,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/marekingu/statuses/963941120332914688,twitter.com,2018/02/15 10:00:46,Unknown,http://twitter.com/marekingu,若狹　眞礼城,marekingu,125171112,日本,秋田県,,,,,,11052,,,,,,,,,,,,,,,
48,日産太っ腹！！ 日産リーフ購入者に太陽光を無償設置＆電気料金の割引ってすごくない☆ dlvr.it/QF3dkr pic.twitter.com/dCQWjBgayT,,Neutral,,Twitter,オリジナル,リンク; 画像,http://twitter.com/seijiseiji666/statuses/960422254872948736,twitter.com,2018/02/05 16:58:04,Unknown,http://twitter.com/seijiseiji666,政治情報,seijiseiji666,2380524198,,,,,,,,6134,,政治,,,,,,,,,,,,,
49,ルノー日産連合、自動運転EVタクシー事業を中国配車大手と計画。将来的には業務提携も （Autoblog） goo.gl/fb/KNJ4EV,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/clip_board_clip/statuses/961556454661648384,twitter.com,2018/02/08 20:04:58,Unknown,http://twitter.com/clip_board_clip,回覧板,clip_board_clip,832220757035884545,,,,,,,,1899,,,,,,,,,,,,,,,
50,“滴滴がＥＶシェア　日産３社連合など12社と　：日本経済新聞” htn.to/63gE7,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/G76whizkidz/statuses/961376833596899328,twitter.com,2018/02/08 8:11:13,Unknown,http://twitter.com/G76whizkidz,garage-kid the raoG@庭園隠者的社内相談役。,G76whizkidz,60943524,,,,,,,,1674,テクノロジー,文学,,,,,,,,,,,,,
51,【カーシェアニュース】日産新型リーフとEV車普及への課題 ift.tt/2BogQiI #カーシェア #カーシェアリング,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/carsharemania/statuses/955797052407140353,twitter.com,2018/01/23 22:39:09,女性,http://twitter.com/carsharemania,カーシェアマニア,carsharemania,1912420134,,,,,,,,1464,,,,,,,,,,,,,,,
52,トヨタ カムリ、日産 リーフ、マツダ cx-5 が残る…世界カーオブザイヤーの第二次選考10台 douglasconrete.xyz/new-car/media/… pic.twitter.com/wkBQN98QRu,,Neutral,,Twitter,オリジナル,リンク; 画像,http://twitter.com/perseus_god_hap/statuses/957164145958416385,twitter.com,2018/01/27 17:11:30,女性,http://twitter.com/perseus_god_hap,mizuki,perseus_god_hap,2781902376,,,,,,,,25,,,,,,,,,,,,,,,
53,ルノー日産、EV向け急速充電ネットワークに参加…最大350kWの高出力 densi-book.comルノー日産、ev向け急速充電ネットワークに参加-3/,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/carexportkoza/statuses/963205513658839040,twitter.com,2018/02/13 9:17:44,Unknown,http://twitter.com/carexportkoza,🚗中古車⛴輸出業支援TL,carexportkoza,775726164962713600,日本,神奈川県,横浜市,,,,,205,,,,,,,,,,,,,,,
54,新型日産リーフの「e-Pedal」は運転を変える!?（All About）- Yahoo!ニュース headlines.yahoo.co.jp/hl?a=20180205-…,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/complexnum3er/statuses/960695514634186752,twitter.com,2018/02/06 11:03:54,Unknown,http://twitter.com/complexnum3er,大賀 蓮,complexnum3er,131044423,日本,東京都,杉並区,,,,,313,,,,,,,,,,,,,,,
55,日産 リーフ 新型、米グリーンカーオブザイヤー受賞…デトロイトモーターショー2018で発表レスポンス rdsig.yahoo.co.jp/rss/l/headline…,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/tokokuisogui/statuses/954529791293538304,twitter.com,2018/01/20 10:43:31,Unknown,http://twitter.com/tokokuisogui,らりー,tokokuisogui,462588820,アメリカ合衆国,ペンシルベニア,フィラデルフィア,,,,,59,,,,,,,,,,,,,,,
56,日産ノート e-powerが凄いらしい！ ポルシェティーガーと同じ、「エンジンで発電・電動モーターで駆動」の方式で、リーフの欠点であった充電問題をカバーしたらしい！ トヨタ系ハイブリッドよりお財布に優しいらしい！ 次は日産のe-powerでキマりじゃないか…（歓喜）,,Neutral,,Twitter,オリジナル,メディアなし,http://twitter.com/axis_fran/statuses/959010091021230081,twitter.com,2018/02/01 19:26:37,男性,http://twitter.com/axis_fran,半田　元,axis_fran,4547308584,日本,茨城県,,,,,,77,芸術・創作,美術・工芸; 自動車; アウトドア; 写真と動画,,,,,,,,,,,,,
57,The latest デイリー turu3! paper.li/turu3?edition_… Thanks to @yuusu0407 @godhorse @k_tokunaga #pyeongchang2018 #日産リーフ,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/turu3/statuses/962160132871385089,twitter.com,2018/02/10 12:03:46,Unknown,http://twitter.com/turu3,turu3,turu3,6161492,日本,東京都,,,,,,371,,音楽; スポーツ,,,,,,,,,,,,,
